Etiq-Strain+Automat+CG+y
AB073912=swJ570. 3b.JPN.Tochigi.pig(*).CG.2000
EU526623=HEV/SW/NL/2005-982. 3f.NLD.pig
EU526624=HEV/SW/NL/2005-975. 3f.NLD.pig
EU526625=HEV/SW/NL/2005-1013. 3e.NLD.pig
EU526626=HEV/WATER/NL/2005-033. 3e.NLD.water
EU526627=HEV/SW/NL/2005-1043. 3a.NLD.pig
EU526628=HEV/SW/NL/2005-1033. 3a.NLD.pig
EU526629=HEV/SW/NL/2005-1028. 3a.NLD.pig
EU526630=HEV/SW/NL/2006-672740. 3a.NLD.pig
EU526631=HEV/SW/NL/2005-1048. 3a.NLD.pig
EU526632=HEV/SW/NL/2005-1027. 3a.NLD.pig
EU526633=HEV/SW/NL/2005-990. 3c.NLD.pig.2005
EU526634=HEV/SW/NL/2005-977. 3c.NLD.pig.2005
EU526635=HEV/SW/NL/2006-659603. 3c.NLD.pig.2006
EU526636=HEV/SW/NL/2005-1036. 3c.NLD.pig.2005
EU526637=HEV/SW/NL/2005-1019. 3c.NLD.pig.2005
EU526638=HEV/SW/NL/2005-1042. 3c.NLD.pig.2005
EU526639=HEV/SW/NL/2005-1068. 3c.NLD.pig.2005
EU526640=HEV/SW/NL/2005-1018. 3c.NLD.pig.2005
EU526641=HEV/SW/NL/2005-999. 3c.NLD.pig.2005
EU526642=HEV/WB/NL/2005-21. 3c.NLD.wb.2005
EU526643=HEV/SW/NL/2005-994. 3c.NLD.pig.2005
EU526644=HEV/SW/NL/2005-1026. 3c.NLD.pig.2005
EU526645=HEV/SW/NL/2005-985. 3c.NLD.pig.2005
EU526646=HEV/SW/NL/2005-1001. 3c.NLD.pig.2005
EU526647=HEV/SW/NL/2005-1055. 3c.NLD.pig.2005
EU676172=swGX40. 4b.CHN.pig.CG
EU718629=HUN-052. 3a.HUN.pig
EU718630=HUN-281. 3e.HUN.pig
EU718631=HUN-288. 3e.HUN.pig
EU718632=HUN-283. 3e.HUN.pig
EU718633=HUN-036. 3a.HUN.pig
EU718634=HUN-088. 3e.HUN.pig
EU718635=HUN-264. 3a.HUN.pig
EU718636=HUN-278. 3e.HUN.pig
EU718637=HUN-282. 3e.HUN.pig
EU718638=HUN-285. 3e.HUN.pig
EU718639=HUN-290. 3e.HUN.pig
EU718640=HUN-039. 3a.HUN.pig
EU718641=HUN-143. 3a.HUN.pig
EU718642=HUN-157. 3e.HUN.deer
EU718643=HUN-284. 3e.HUN.pig
EU718644=HUN-070. 3a.HUN.pig
EU718645=HUN-279. 3e.HUN.pig
EU718646=HUN-006. 3a.HUN.wb
EU718647=HUN-007. 3a.HUN.wb
EU718648=HUN-034. 3a.HUN.pig
EU718649=HUN-039. 3a.HUN.pig
EU718650=HUN-072. 3e.HUN.pig
EU723512=SW626. 3f.ESP.pig.CG.2005
EU723513=SW627. 3f.ESP.pig.CG.2005
EU723514=SWP6. 3f.ESP.pig.CG.2006
EU723515=SWP7. 3f.ESP.pig.CG.2006
EU723516=SWP8. 3f.ESP.pig.CG.2006
EU879097=V0607258. 1a.NPL.hum.UReg
EU879098=V0607568. 3e.DEU.hum.UReg
EU879099=V0609076. 3a.DEU.BB.hum.UReg
EU879100=V0609821. 3f.DEU.hum.UReg
EU879101=V0609824. 1a.IND.hum.UReg
EU879102=V0609825. 3f.DEU.hum.UReg
EU879103=V0609890. 3a.DEU.hum.UReg
EU879104=V0610936. 1a.IND.hum.UReg
EU879105=V0616473. 1a.IND.hum.UReg
EU879106=V0616823. 3f.DEU.hum.UReg
EU879107=V0616932. 1a.IND.hum.UReg
EU879108=V0616998. 1.PAK.hum.UReg
EU879109=V0703163. 3c.DEU.hum.UReg
EU879110=V0705397. 3a.DEU.hum.UReg
EU879111=V0706586. 3c.DEU.Berlin.hum.UReg
EU879112=V0707060. 3f.DEU.hum.UReg
EU879113=V0707613. 3a.USA.hum.UReg
EU879114=V0710246. 3f.DEU.hum.UReg
EU879115=V0711187. 1a.IND.hum.UReg
EU879116=V0711277. 3f.DEU.hum.UReg
EU879117=V0713286. 3e.DEU.hum.UReg
EU879118=V0714229. 3g.DEU.hum.UReg
EU879119=V0714305. 1e.ETH.hum.UReg
EU879120=V0716883. 4.DEU.hum.UReg
FJ426403=swKOR-1. 3a.KOR.pig.CG.2007
FJ426404=swKOR-2. 3a.KOR.pig.CG.2007
FJ457024=HEV-H. 1a.IND.hum.CG.2005
FJ464744=C12. 3f.ESP.hum
FJ464748=C9. 3f.ESP.hum
FJ464749=C13. 3f.ESP.hum
FJ527832=SAAS-JDY5. 3b.CHN.Shang.pig.CG.2007
FJ610232=swCH189. 4d.CHN.Gansu.pig.CG.2008
FJ641052=HUN-E134. 3f.HUN.hum
FJ641994=Ch-MD-sw1. 4.CHN.pig.2007
FJ642016=Ch-MD-sw23. 4a.CHN.pig.2007
FJ653660=CU001. 3f.THA.hum.CG.2008
FJ705359=wbGER27. 3c.DEU.BB.wb.FIRA.CG.2006
FJ748515=wbGER39. 3i.DEU.TH.wb.FIRA
FJ748516=wbGER77. 3i.DEU.TH.wb.FIRA
FJ748517=wbGER25. 3c.DEU.BB.wb.FIRA
FJ748518=wbGER27. 3c.DEU.BB.wb.FIRA
FJ748519=wbGER28. 3c.DEU.BB.wb.FIRA
FJ748520=wbGER29. 3c.DEU.BB.wb.FIRA
FJ748521=wbGER31. 3c.DEU.BB.wb.FIRA
FJ748522=wbGER32. 3c.DEU.BB.wb.FIRA
FJ748523=wbGER36. 3c.DEU.BB.wb.FIRA
FJ748524=wbGER37. 3c.DEU.BB.wb.FIRA
FJ748525=wbGER38. 3c.DEU.BB.wb.FIRA
FJ748526=wbGER115. 3e.DEU.Berlin.wb.FIRA
FJ748527=wbGER140. 3a.DEU.BB,Potsdam.wb.FIRA
FJ748528=wbGER155. 3a.DEU.BB,Potsdam.wb.FIRA
FJ748529=wbGER155. 3a.DEU.BB,Potsdam.wb.FIRA
FJ748530=wbGER77. 3i.DEU.TH.wb.FIRA
FJ748531=wbGER27. 3c.DEU.BB.wb.FIRA
FJ906895=GDC9. Rab.CHN.Gansu.rabbit.CG.2008
FJ906896=GDC46. Rab.CHN.Gansu.rabbit.CG.2008
FJ956757=HEV_RKI. 3f.DEU.Berlin.hum.RKI.CG.2005
FJ998008=BB02. 3i.DEU.BB,Krausnick.wb.RKI.CG
FJ998009=BW05. 3h.DEU.BW,BB.wb.RKI
FJ998010=RP1647. 3i.DEU.RP.wb.RKI
FJ998011=RP1658. 3i.DEU.RP.wb.RKI
FJ998012=RP1752. 3i.DEU.RP.wb.RKI
FJ998013=SA11. 3e.DEU.BB,Welzow.wb.RKI
FJ998014=SA13. 3e.DEU.BB,Welzow.wb.RKI
FJ998015=SA21. 3e.DEU.BB,Welzow.wb.RKI.CG.2007
FJ998016=SA28. 3e.DEU.BB,Welzow.wb.RKI
FJ998017=SA29. 3f.DEU.BB,Welzow.wb.RKI.2007
FJ998018=BB19. 3i.DEU.BB,Krausnick.wb
FJ998019=SA34. 3e.DEU.BB,Welzow.wb.RKI
FN985024=V1011292. 3f.DEU.BB.hum.UReg
FN985025=V1011293. 3c.DEU.BB.hum.UReg
FN985026=V1011911. 3f.DEU.MV.hum.UReg
FN994997=V1006699. 3c.DEU.NI.hum.UReg
FN994998=V1008999. 3e.DEU.NW.hum.UReg
FN994999=V1009000. 3e.DEU.NW.hum.UReg
FN995000=V1007999. 3c.DEU.BY,Reg.hum.UReg
FN995001=V1007999. 3c.DEU.BY,Reg.hum.UReg
FR687017=V1002449. 3e.DEU.TH.hum.UReg
FR728243=V1003873. 1a.?.hum.UReg
FR728244=V1003873. 1a.?.hum.UReg
FR728245=V1013454. 1.DEU.BY.hum.UReg
FR728246=V1013454. 1.DEU.BY.hum.UReg
FR728247=V1014546. 3c.DEU.Hamburg.hum.UReg
FR728248=V1015214. 3c.DEU.NW.hum.UReg
FR728249=V1015214. 3c.DEU.NW.hum.UReg
FR728250=V1021644. 3f.DEU.BB.hum.UReg
FR728251=V1019129. 3feg.DEU.BB.hum.UReg
FR728252=V1019129. 3feg.DEU.BB.hum.UReg
FR728253=V1020087. 3c.DEU.BY,Munich.hum.UReg
FR728254=V1020087. 3c.DEU.BY,Munich.hum.UReg
FR728255=V1023239. 3c.DEU.BW,Ulm.hum.UReg
FR728256=V1023239. 3c.DEU.BW,Ulm.hum.UReg
FR846450=V1024549. 3c.DEU.BW,LB.hum.UReg
FR846451=V1025911. 3c.DEU.RP,Mainz.hum.UReg
FR846452=V1025911. 3c.DEU.RP,Mainz.hum.UReg
FR846453=swR437. 3a.DEU.BY,Reg.pig.UReg
FR846454=swR437. 3a.DEU.BY,Reg.pig.UReg
FR846455=swR269. 3c.DEU.BY,Reg.pig.UReg
FR863612=HEVCW. 3.GBR.hum
GQ266391=V0813275. 3e.DEU.hum.UReg.2008
GQ468296=HUN-138. 3a.HUN.deer
GU117636=Sw28IT. 3f.ITA.pig
GU188851=WH09. 4c.CHN.pig.CG.2009
GU299812=CZhHEV108-09. 3g.CZE.hum
GU299813=CZhHEV113-09. 3f.CZE.hum
GU299814=CZwbHEV71-09. 3g.CZE.wb
GU299815=CZhHEV197-09. 3e.CZE.hum
GU299816=CZwbHEV51-09. 3g.CZE.wb
GU299817=CZhHEV107-09. 3e.CZE.hum
GU479457=V0926307. 3a.DEU.BY.hum.UReg
GU479458=V0926307. 3a.DEU.BY.hum.UReg
GU556929=SwBO85. 3c.ITA.pig
GU937805=ch-bj-n1. Rab.CHN.Gansu.rabbit.CG.2009
GU947815=CU002. 3f.THA.hum.2009
HE605113=V1007014. 3f.DEU.hum.UReg.2010
HE605114=V1109172. 3c.DEU.hum.UReg.2011
HE605115=V1117691. 3c.DEU.hum.UReg.2011
HE605116=V1109172. 3c.DEU.hum.UReg.2011
HE605117=V1117691. 3c.DEU.hum.UReg.2011
HE716853=V1008053. 3i.DEU.Nordrhein-Westfalen.hum.UReg.2010
HE797853=4701. 3a.DEU.MV.wb.FLI.1997
HE797854=8603. 3a.DEU.MV.wb.FLI.2005
HE797855=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
HE797856=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
HE797857=WS35-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
HE797858=WS08-009. 3i.DEU.BW,SIG.wb.FLI.2008
HE797859=WS08-012. 3c.DEU.BW,SIG.wb.FLI.2008
HE797860=WS08-020. 3i.DEU.BW,SIG.wb.FLI.2008
HE797861=WS08-031. 3i.DEU.BW,SIG.wb.FLI.2008
HE797862=WS08-047. 3e.DEU.BW,RV.wb.FLI.2008
HE797863=WS08-047. 3e.DEU.BW,RV.wb.FLI.2008
HE797864=WS09-318. 3i.DEU.BW,EM.wb.FLI.2009
HF912156=V1114818. 3c.DEU.Lower Saxony.hum.UReg.2011
HF912157=V1114818. 3c.DEU.Lower Saxony.hum.UReg.2011
HM054531=TR39. 3c.FRA.hum
HM055578=HEV072/sw/HUN-05. 3e.HUN.pig.CG
HM439285=EChN22. 3b.CHN.hum.2009
HM483380=005-10. 3a.SRB.pig
HM483381=006-10. 3a.SRB.pig
HM483382=007-10. 3a.SRB.pig
HM483383=008-10. 3a.SRB.pig
HM483384=009-10. 3g.SRB.pig
HM623773=sw1aAT. 3a.AUT.pig.2008
HM623774=sw7_1AT. 3a.AUT.pig.2008
HM623775=sw7aAT. 3a.AUT.pig.2007
HM623776=sw10_04AT. 3a.AUT.pig.2007
HM623777=sw11_4bAT. 3i.AUT.pig.2008
HM641302=640-09. 3c.SWE.wb
HQ389543=Kernow-C1. 3a.UK.hum.CG.2009
HQ415969=CC2009-1047. 3b.CAN.hum
HQ446873=CUB24-2008. 3a.CUB.hum.2008
HQ446874=CUB96-2008. 3a.CUB.hum.2008
HQ446875=CUB90-2008. 3a.CUB.hum.2008
HQ446876=CUB67-2008. 3a.CUB.hum.2008
HQ446877=CUB54-2008. 3a.CUB.hum.2008
HQ446878=CUB23-2008. 3a.CUB.hum.2008
HQ446879=CUB90D-2008. 3a.CUB.hum.2008
HQ682232=Fr-10Y56. 3h.FRA.hum
HQ688787=Fr-10Y57. 3f.FRA.hum
HQ693753=PT4-1. 3a.CAN.hum
HQ693754=PT4-2. 3a.CAN.hum
HQ702487=Case1_Ser_Lg. 3f.FRA.Marseille.hum
HQ702488=Case1_LCR_Sh. 3f.FRA.Marseille.hum
HQ702489=Case2_Ser_Sh. 3f.FRA.Marseille.hum
HQ842716=NLSW664HEV2008. 3c.NLD.pig.2008
HQ842717=NLSW708HEV2008. 3c.NLD.pig.2008
HQ842719=NLSW747HEV2008. 3a.NLD.pig.2008
HQ842728=BeSW68HEV4-2008. 4.BEL.pig
HQ842731=NLSW927HEV2008. 3c.NLD.pig.2008
HQ857384=BeSW67HEV4-2008. 4.BEL.pig
JF309071=Hamburg-BNI. 3c.DEU.BB.hum.BNI.2010
JF431017=SI-P36. 3k.SVN.pig.2004
JF431023=SI-P65. 3k.SVN.pig.2004
JF431032=SI-P6. 3k.SVN.pig
JF431034=SI-P6. 3k.SVN.pig
JF431037=SI-P36. 3k.SVN.pig
JF431042=SI-P65. 3k.SVN.pig
JF490047=E1Arg36.2. 3chi.ARG.hum
JF490048=E1Arg42.15. 3l.ARG.hum
JF490049=E1Arg52.24. 3j.ARG.hum
JF718827=FR-SHEVL183. 3f.FRA.pig
JF718828=FR-SHEVL185. 3f.FRA.pig
JF718829=FR-SHEVL186. 3f.FRA.pig
JF730329=Fr-08H82. 3c.FRA.pig.2008
JF730330=Fr-08H53. 3f.FRA.pig
JF730331=Fr-08L40. 3f.FRA.pig
JF730332=Fr-08I96. 3f.FRA.pig
JF937673=swCUB7-2008. 3a.CUB.pig.2007
JF937674=swCUB30-2008. 3a.CUB.pig.2007
JF937675=swCUB87-2008. 3a.CUB.pig.2007
JF937676=swCUB92-2008. 3a.CUB.pig.2007
JF937677=swCUB138-2008. 3a.CUB.pig.2007
JF937678=swCUB137-2008. 3a.CUB.pig.2007
JN257708=PP300. 3.DEU.hum.PEI
JN257709=PP302. 3feg.DEU.hum.PEI
JN257710=PP316. 3.DEU.hum.PEI
JN257711=PP440. 3c.DEU.hum.PEI
JN398370=TR09. 3f.FRA.Toulouse.hum.2005
JN398371=TR02. 3e.FRA.Toulouse.hum.2006
JN398372=TR19. 3h.FRA.Toulouse.hum.2009
JN415692=swine/Ger/01. 3e.DEU.pig.TiHo.2009
JN415693=swine/Ger/03. 3e.DEU.pig.TiHo.2009
JN415694=swine/Ger/05. 3e.DEU.pig.TiHo.2009
JN415695=swine/Ger/06. 3e.DEU.pig.TiHo.2009
JN415696=swine/Ger/07. 3e.DEU.pig.TiHo.2009
JN415697=swine/Ger/10. 3c.DEU.pig.TiHo.2009
JN415698=swine/Ger/12. 3c.DEU.pig.TiHo.2009
JN415699=swine/Ger/14. 3e.DEU.pig.TiHo.2009
JN415700=swine/Ger/15. 3e.DEU.pig.TiHo.2009
JN415701=swine/Ger/16. 3c.DEU.pig.TiHo.2009
JN415702=swine/Ger/17. 3c.DEU.pig.TiHo.2009
JN415703=swine/Ger/18. 3e.DEU.pig.TiHo.2008
JN415704=swine/Ger/19. 3f.DEU.pig.TiHo.2008
JN564006=LBPR-000379. 3a.USA.hum.CG.2010
JN701453=USfsw-1. 3a.USA.pig.2008
JN701454=USfsw-2. 3a.USA.pig.2008
JN701455=USfsw-1. 3a.USA.pig.2008
JN701456=USfsw-2. 3a.USA.pig.2008
JN701457=USsw-21. 3a.USA.pig.2008
JN837481=US-C031008. 3a.USA.hum.CG.2008
JN906974=FR-HuHEVF3f. 3f.FRA.hum.CG.2010
JN906975=FR-SHEVF3f. 3f.FRA.pig.CG.2010
JN906976=FR-SHEVB3f. 3f.FRA.pig.CG.2010
JN986840=HAMBURG-HB. 3c.DEU.hum.BNI.2010
JN995562=Oct1. 3.SWE.hum.PEI
JN995563=Oct2. 3c.DEU.hum.PEI
JN995564=Oct3. 3e.DEU.hum.PEI
JN995565=Oct4. 3f.SWE.hum.PEI
JN995566=Oct5. 3i.SWE.hum.PEI
JN995567=Oct6. 3c.DEU.hum.PEI
JN995568=Oct7. 3.DEU.hum.PEI
JN995569=Oct8. 3c.DEU.hum.PEI
JN995570=Oct9. 3f.SWE.hum.PEI
JN995571=Oct10. 3i.SWE.hum.PEI
JN995572=Oct11. 3f.SWE.hum.PEI
JN995573=Oct12. 3f.SWE.hum.PEI
JQ013789=F1-4. Rab.FRA.rabbit.2008
JQ013790=F1-6. Rab.FRA.rabbit.2007
JQ013791=W1-11. Rab.FRA.rabbit.CG.2007
JQ013792=W7-57. Rab.FRA.rabbit.CG.2007
JQ013793=TLS-18516. Rab.FRA.hum.CG.2008
JQ013794=TR19. 3h.FRA.hum.CG.2007
JQ013795=TR02. 3e.FRA.hum.CG.2006
JQ026407=Inuyama. 3e.JPN.monkey.CG.2009
JQ034512=HSD40. 3c.DEU.hum.UBMC.2009
JQ034513=HSD23. 3c.DEU.hum.UBMC.2009
JQ034514=HSD32. 3c.DEU.hum.UBMC.2009
JQ034515=HSD11. 3c.DEU.hum.UBMC.2009
JQ034516=HSD14. 3c.DEU.hum.UBMC.2009
JQ034517=HSD35. 3e.DEU.hum.UBMC.2009
JQ034518=HSD50. 3e.DEU.hum.UBMC.2009
JQ034519=HSD21. 3c.DEU.hum.UBMC.2009
JQ034520=HSD24. 3e.DEU.hum.UBMC.2009
JQ034521=HSD43. 3a.DEU.hum.UBMC.2009
JQ034522=HSD30. 3c.DEU.hum.UBMC.2009
JQ522948=U1. 3f.ESP.pig.2005
JQ768461=CHN-BJ-rb14. Rab.CHN.rabbit.CG
JQ807471=4322. 3i.DEU.MV.wb.FLI.1997
JQ807472=4701. 3a.DEU.MV.wb.FLI.1997
JQ807473=4973. 3a.DEU.MV.wb.FLI.1997
JQ807474=5160. 3i.DEU.MV.wb.FLI.1997
JQ807475=5304. 3i.DEU.MV.wb.FLI.1997
JQ807476=8603. 3a.DEU.MV.wb.FLI.2005
JQ807477=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
JQ807478=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
JQ807479=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
JQ807480=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
JQ807481=WS05-09. 3i.DEU.MV,Ovp.wb.FLI.2009
JQ807482=WS05-09. 3i.DEU.MV,Ovp.wb.FLI.2009
JQ807483=WS05-09. 3i.DEU.MV,Ovp.wb.FLI.2009
JQ807484=WS21-10. 3i.DEU.MV,Sfh.wb.FLI.2010
JQ807485=WS21-10. 3i.DEU.MV,Sfh.wb.FLI.2010
JQ807486=WS28-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807487=WS28-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807488=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807489=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807490=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807491=WS35-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807492=WS35-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807493=WS08-009. 3i.DEU.BW,SIG.wb.FLI.2008
JQ807494=WS08-009. 3i.DEU.BW,SIG.wb.FLI.2008
JQ807495=WS08-012. 3c.DEU.BW,SIG.wb.FLI.2008
JQ807496=WS08-012. 3c.DEU.BW,SIG.wb.FLI.2008
JQ807497=WS08-012. 3c.DEU.BW,SIG.wb.FLI.2008
JQ807498=WS08-020. 3i.DEU.BW,SIG.wb.FLI.2008
JQ807499=WS08-020. 3i.DEU.BW,SIG.wb.FLI.2008
JQ807500=WS08-020. 3i.DEU.BW,SIG.wb.FLI.2008
JQ807501=WS08-031. 3i.DEU.BW,SIG.wb.FLI.2008
JQ807502=WS08-031. 3i.DEU.BW,SIG.wb.FLI.2008
JQ807503=WS08-031. 3i.DEU.BW,SIG.wb.FLI.2008
JQ807504=WS08-047. 3e.DEU.BW,RV.wb.FLI.2008
JQ807505=WS08-047. 3e.DEU.BW,RV.wb.FLI.2008
JQ807506=WS09-292. 3i.DEU.BW,RT.wb.FLI.2009
JQ807507=WS09-298. 3a.DEU.BW,OG.wb.FLI.2009
JQ807508=WS09-305. 3a.DEU.BW,OG.wb.FLI.2009
JQ807509=WS09-306. 3a.DEU.BW,OG.wb.FLI.2009
JQ807510=WS09-307. 3a.DEU.BW,OG.wb.FLI.2009
JQ807511=WS09-317. 3a.DEU.BW,EM.wb.FLI.2009
JQ807512=WS09-318. 3i.DEU.BW,EM.wb.FLI.2009
JQ807513=WS09-371. 3e.DEU.BW,RV.wb.FLI.2009
JQ807514=WS09-371. 3e.DEU.BW,RV.wb.FLI.2009
JQ807515=WS09-371. 3e.DEU.BW,RV.wb.FLI.2009
JQ807516=WS09-371. 3e.DEU.BW,RV.wb.FLI.2009
JQ807517=WS09-377. 3e.DEU.BW,RV.wb.FLI.2009
JQ807518=WS09-377. 3e.DEU.BW,RV.wb.FLI.2009
JQ807519=WS09-377. 3e.DEU.BW,RV.wb.FLI.2009
JQ807520=WS09-377. 3e.DEU.BW,RV.wb.FLI.2009
JQ807521=WS09-377. 3e.DEU.BW,RV.wb.FLI.2009
JQ807522=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
JQ807523=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
JQ807524=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
JQ863406=8271_10. 3c.DEU.HE.hum.HDZNRW.2011
JQ863407=0123_9. 3c.DEU.HE.hum.UBMC.2011
JQ863408=3039_2. 3c.DEU.HE.hum.UBMC.2011
JQ863409=3993_1. 3e.DEU.NRW.hum.UBMC.2011
JQ863410=5977_6. 3c.DEU.NRW.hum.UBMC.2011
JQ863411=6025_7. 3c.DEU.HE.hum.UBMC.2011
JQ863412=5288_8. 3a.DEU.NRW.hum.UBMC.2011
JQ863413=4163_5. 3c.DEU.HE.hum.UBMC.2011
JQ863414=6207_11. 3c.DEU.NRW.hum.UBMC.2011
JQ863415=4046_3. 3c.DEU.NRW.hum.UBMC.2011
JQ863416=3306_4. 3c.DEU.NRW.hum.UBMC.2011
JQ863417=4423_12. 3c.DEU.LS.hum.UBMC.2011
JQ863418=9467_13. 3c.DEU.HE.hum.UBMC.2011
JQ953664=FR-SHEV3c-like. 3h.FRA.pig.CG.2006
JQ953665=FR-SHEV3e. 3e.FRA.pig.CG.2006
JQ953666=FR-SHEV3f. 3f.FRA.pig.CG.2008
JQ965993=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JX109834=CHN-BJ-R14. Rab.CHN.rabbit.CG
JX110665=20617. 3c.DEU.hum.UBMC.2009
JX110666=21106. 3a.DEU.hum.UBMC.2009
JX110667=21387. 3a.DEU.hum.UBMC.2009
JX121233=CHN-BJ-R14. Rab.CHN.monkey.CG
JX507128=swHEV-MG-104. 3h.MDG.pig.2010
JX507129=swHEV-MG-121. 3h.MDG.pig.2010
JX507130=swHEV-MG-190. 3h.MDG.pig.2010
JX565469=CMC-1. Rab.USA.Virginia.rabbit.CG.2010
JX880196=He_Uy8. 3l.URY.hum.2010
JX880197=He_Uy3. 3l.URY.hum.2010
JX880198=He_Uy4. 3l.URY.hum.2010
JX880199=He_Uy7. 3l.URY.hum
JX880200=He_Uy10. 3l.URY.hum
JX880201=He_Uy11. 3l.URY.hum
JX880202=He_Uy14. 3l.URY.hum
JX880203=He_Uy15. 3l.URY.hum
JX880204=He_Uy3. 3l.URY.hum.2010
JX880205=He_Uy4. 3l.URY.hum.2010
JX880206=He_Uy10. 3l.URY.hum.2010
JX880207=He_Uy11. 3l.URY.hum.2010
JX880208=He_Uy15. 3l.URY.hum.2010
JX880209=He_Uy7. 3l.URY.hum.2010
JX880210=He_Uy8. 3l.URY.hum.2010
JX880211=He_Uy3. 3l.URY.hum.2010
JX880212=He_Uy4. 3l.URY.hum.2010
JX880213=He_Uy4. 3l.URY.hum.2010
JX880214=He_Uy8. 3l.URY.hum.2010
JX880215=He_Uy10. 3l.URY.hum.2010
JX880216=He_Uy11. 3l.URY.hum.2010
JX880217=He_Uy13. 3l.URY.hum.2010
JX880218=He_Uy14. 3l.URY.hum.2010
JX880219=He_Uy15. 3l.URY.hum.2010
JX880220=He_Uy12. 3l.URY.hum.2010
KY092452=K027. Rab.DEU.SH.rabbit.FLI.2015
KY092461=K031. Rab.DEU.SH.rabbit.FLI.2015
KY092453=K035. Rab.DEU.SH.rabbit.FLI.2015
KY092454=K048. Rab.DEU.SH.rabbit.FLI.2015
KY092462=K051. Rab.DEU.SH.rabbit.FLI.2015
KY092463=K052. Rab.DEU.SH.rabbit.FLI.2015
KY092455=K058. Rab.DEU.SH.rabbit.FLI.2015
KY092456=K059. Rab.DEU.SH.rabbit.FLI.2015
KY092457=K062. Rab.DEU.SH.rabbit.FLI.2015
KY092458=K063. Rab.DEU.SH.rabbit.FLI.2015
KY092464=K067. Rab.DEU.SH.rabbit.FLI.2015
KY092465=K081. 3g.DEU.NW.rabbit.FLI.2015
KY092451=K092. Rab.DEU.RP.rabbit.FLI.2015
KY092466=K096. Rab.DEU.RP.rabbit.FLI.2015
KY092459=K103. Rab.DEU.RP.rabbit.FLI.2015
KY092460=K106. Rab.DEU.RP.rabbit.FLI.2015
KY092467=K109. Rab.DEU.RP.rabbit.FLI.2015
KY092468=K126. Rab.DEU.LS.rabbit.FLI.2015
KY092469=K145. Rab.DEU.LS.rabbit.FLI.2015
KY092470=K147. Rab.DEU.LS.rabbit.FLI.2015
KY092471=K149. Rab.DEU.RP.rabbit.FLI.2016
KY092472=K151. Rab.DEU.RP.rabbit.FLI.2016
KY092473=K153. Rab.DEU.RP.rabbit.FLI.2016
KY092474=K154. Rab.DEU.RP.rabbit.FLI.2016
KY092475=K155. Rab.DEU.RP.rabbit.FLI.2016
KY092476=K158. Rab.DEU.RP.rabbit.FLI.2016
KY092478=K159. Rab.DEU.RP.rabbit.FLI.2016
KY092477=K164. Rab.DEU.RP.rabbit.FLI.2016
KC012631=Yaounde56. 3h.CMR.pig.ITM.2012
KC012632=Yaounde94. 3h.CMR.pig.ITM.2012
KC012633=Bamenda41. 3h.CMR.pig.ITM.2012
KC012634=Yaounde96. 3h.CMR.pig.ITM.2012
KC012635=Yaounde94. 3h.CMR.pig.ITM.2012
KC163335=CH-YT-1. 4d.CHN.hum.CG.2012
KC166967=TLS09. 3f.FRA.Toulouse.hum.CG.2004
KC166968=TLS09. 3f.FRA.Toulouse.hum.CG.2005
KC166969=TLS09. 3f.FRA.Toulouse.hum.CG.2006
KC166970=TLS09. 3f.FRA.Toulouse.hum.CG.2007
KC166971=TLS09. 3f.FRA.Toulouse.hum.CG.2008
KC189822=He_Uy12. 3l.URY.hum.2010
KC473527=. .CHN.musk
KC473528=. .CHN.musk
KC473529=. .CHN.musk
KC473531=. .CHN.musk
KC618402=47832. 3c.DEU.hum.FIRA.CG.2011
KC802090=. .mink
KC911858=TR6. 3f.FRA.Toulouse.hum.2006
KC911878=TR18. 3f.FRA.Toulouse.hum.2007
KC911903=TR12. 3f.FRA.Toulouse.hum.2006
KC911918=TR11. 3f.FRA.Toulouse.hum.2005
KC911938=TR21. 3f.FRA.Toulouse.hum.2006
KC911958=TR8. 3f.FRA.Toulouse.hum
KC911978=TR25. 3f.FRA.Toulouse.hum
KC911998=TR3. 3f.FRA.Toulouse.hum
KC912018=TR4. 3f.FRA.Toulouse.hum
KC912038=TR23. 3h.FRA.Toulouse.hum
KC912058=TR15. 3f.FRA.Toulouse.hum
KC912078=TR14. 3f.FRA.Toulouse.hum
KC912098=TR13. 3f.FRA.Toulouse.hum
